openalex_id,display_name_or_alias,orcid,institutions,n_institutions,n_works_in_input
https://openalex.org/A5084333635,Silvia Morbelli,https://orcid.org/0000-0002-7833-6095,Azienda Ospedaliera Citta' della Salute e della Scienza di Torino; University of Turin,2,2
https://openalex.org/A5021845461,Silvio P. Sabatini,https://orcid.org/0000-0002-0557-7306,,0,2
https://openalex.org/A5064754948,Simone Graffione,https://orcid.org/0000-0003-0882-586X,University of Genoa,1,2
https://openalex.org/A5062535182,Stefano Berrone,https://orcid.org/0000-0001-8642-4258,Polytechnic University of Turin,1,2
https://openalex.org/A5044981097,Stefano De Beni,,Esaote (Italy),1,2
https://openalex.org/A5024454281,Süleyman Mahircan Demir,https://orcid.org/0000-0002-6384-4062,Center for Biomolecular Nanotechnologies; Italian Institute of Technology; Polytechnic University of Turin,3,2
https://openalex.org/A5044587957,Ulderico Fugacci,https://orcid.org/0000-0003-3062-997X,Istituto di Matematica Applicata e Tecnologie Informatiche,1,2
https://openalex.org/A5066541892,V. Falzarano,,Technology Transfer and Innovation (Italy),1,2
https://openalex.org/A5093471969,Valentina Antonaci,,Center for Biomolecular Nanotechnologies; Innovation Engineering (Italy); University of Salento,3,2
https://openalex.org/A5042041063,Valentina Candiani,https://orcid.org/0000-0003-0669-8019,University of Genoa,1,2
https://openalex.org/A5089884301,Velizar Kolev,,MedCom,1,2
https://openalex.org/A5103008836,Walter Setti,https://orcid.org/0000-0003-3388-4765,Italian Institute of Technology,1,2
https://openalex.org/A5020334595,Yassine Ennassiri,https://orcid.org/0000-0001-7445-2825,,0,2
